trade_id,intent_id,strategy_decision_id,decision_time_utc,execution_time_utc,split,side,liquidity,quantity_btc,execution_volume_btc,volume_participation_fraction,volume_cap_applied,reference_price_cad,execution_price_cad,gross_notional_cad,fee_cad,slippage_cad,cash_after_cad,btc_after
trade_21a0eb64d62d77b8cd56ec1c,intent_748cf4c1d8e7f71672a72007,8e8500f943a2d58214b6a51b91dae74463f589b938b426aab08b8300e4f6cb41,2019-04-03T00:15:00Z,2019-04-03T00:17:00Z,development,buy,taker,0.06650408,1.89088813,0.0351708167949629045479279623,False,6397.359772151089657535689327110007295884,6403.8,425.878827504,3.407030620032,0.4283014280821613280739141347,570.714141875968,0.06650408
trade_49c48975f8b713aab199840f,intent_6fd3bf716de84dd5bed880af,7134814980e987777d7bb26171b9056ae5588e94a4d2a94f0eacf1190f48abc0,2019-04-17T00:15:00Z,2019-04-17T00:17:00Z,development,sell,taker,0.0014088,0.014088,0.1,True,7079,7071.9,9.96289272,0.07970314176,0.01000248,580.597331454208,0.06509528
trade_a83a096c59ee482a0fcfe61b,intent_cdd85c13e39fb728d958bbc5,592cde31cb144b399e8e48645943aae12fc8763ddea899e6614a6d66a3373f4e,2019-04-24T00:15:00Z,2019-04-24T00:17:00Z,development,sell,taker,0.0002314,0.002314,0.1,True,7506.8,7499.2,1.73531488,0.01388251904,0.00175864,582.318763815168,0.06486388
trade_e2c97d46bdcd6f8681763808,intent_8f015f6a426dd9c8906284c3,02230f81cecadcc4b9c529391a9f745a7c737da0329f19f36c7dec0438e76cb7,2019-04-25T00:15:00Z,2019-04-25T00:20:00Z,development,sell,taker,0.0078295,0.11702439,0.06690485632952241836082204744,False,7392.2,7384.8,57.8192916,0.4625543328,0.0579383,639.675501082368,0.05703438
trade_59607d9be25c82eeeb80aeed,intent_08ae9a09f2c73c10f651e22c,dac6d718f402fe2d7a57ce5483986a252fa605356396de2cdfd6826a67df9d1c,2019-05-03T00:15:00Z,2019-05-03T00:19:00Z,development,buy,taker,0.01555359,0.1555359,0.1,True,7279.954142998497452999596877634038186682,7287.3,113.343676407,0.906749411256,0.114254448,525.425075264112,0.07258797
trade_a30dcde365e2695942c05d31,intent_aa3157461ee83c91a2c64490,232cce16c01aee82356f8e068619b15bc2780a3d34ee328d7def5c9b2623fe17,2019-05-04T00:15:00Z,2019-05-04T00:16:00Z,development,buy,taker,0.0002301,0.002301,0.1,True,7624,7631.7,1.75605417,0.01404843336,0.00177177,523.654972660752,0.07281807
trade_cf256e217c5982b5a174a1ab,intent_9f04d1ae3a8df9e272c6ce6b,bfed0aef7a97bf8e792a901aa7893b68a6935a2e76bc55b47bf0de33fa594549,2019-05-05T00:15:00Z,2019-05-05T00:16:00Z,development,buy,taker,0.0025,0.025,0.1,True,7672.3,7680,19.2,0.1536,0.01925,504.301372660752,0.07531807
trade_686f1c883f677371e878f2e6,intent_de2944144acafc3c869cf070,b52a73c31416f23f5d1cbd3c19127515de3dae2b70c6bf5913fe1b432c739c5f,2019-05-06T00:15:00Z,2019-05-06T00:18:00Z,development,buy,taker,0.00212633,0.02126331,0.09999995297063345264683626397,True,7691.7,7699.4,16.371465202,0.130971721616,0.016372741,487.798935737136,0.0774444
trade_8cd4a4668fe02065a0bfb292,intent_d8abf1de4bdd9a4c167a2a3c,46127167b0c08ce44b4bfbc6b1336ae1ad25253874631f9180b96c22a6a5b9e6,2019-05-07T00:15:00Z,2019-05-07T00:17:00Z,development,buy,taker,0.002402,0.02402,0.1,True,7678.4,7686.1,18.4620122,0.1476960976,0.0184954,469.189227439536,0.0798464
trade_c2d7a61e0c434982fcb73f0a,intent_81d2de82bb790fbd5bfeb21c,1394e9366ecbe52a5e4fbad7f6ddfcff65d9b823627f38a689c2a0a1a995c36d,2019-05-08T00:15:00Z,2019-05-08T00:19:00Z,development,buy,taker,0.003143,0.03143,0.1,True,7765,7772.8,24.4299104,0.1954392832,0.0245154,444.563877756336,0.0829894
