category,name,scope,initial_equity_cad,final_equity_cad,net_profit_cad,gross_profit_cad,total_return,cagr,annualized_volatility,sharpe,downside_deviation,sortino,max_drawdown,max_drawdown_duration_days,calmar,average_exposure,turnover,total_fees_cad,total_slippage_cad,trade_count
comparator,cad_cash,full_evaluation,1000,1000,0,0,0,0,0E-48,,0E-48,,0,0,,0,0,0,0,0
comparator,cad_cash,development,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,cad_cash,validation,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,cad_cash,frozen_holdout,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,fee_aware_btc_buy_and_hold,full_evaluation,1000,14286.863984417056,13286.863984417056,13425.43657594000000000000000,13.286863984417056,0.4403858523302283951290279868,0.6152623736839949500011635147,0.9047757450817935125893557798,0.4163904523242863076726101000,1.336904987766600887330846515,0.7466956382129823807136516573,842,0.5897795966562425968488705837,0.9998364853744658587123176723,2.392438112965718136705036764,123.153152704944,15.41943881800000000000000000,3
comparator,fee_aware_btc_buy_and_hold,development,1000,3750.657927855008,2750.657927855008,,2.750657927855008,0.3529988234436072737056744801,0.7007201625929570973441308142,0.7884427745514499771373575986,0.4839117496867273152750785728,1.141691123508769703820521745,0.7466956382129823807136516573,483,0.4727479382207403391125084994,0.9997274762210063483553248530,,,,
comparator,fee_aware_btc_buy_and_hold,validation,3750.657927855008,10456.888248223392,6706.230320368384,,1.788014382906857236970193525,1.020749843215124600349272766,0.4795412950521698715539377601,1.704429236896831168681433583,0.2859934608630533535697405530,2.857912209320301722723831529,0.2264028257000332037770052388,126,4.508556110370909117401392943,0.9999999970721800156669567532,,,,
comparator,fee_aware_btc_buy_and_hold,frozen_holdout,10456.888248223392,14286.863984417056,3829.975736193664,,0.366263428017830307818762572,0.2387648017091451246928775127,0.4363505738872089131054979886,0.7072176422975429607643206988,0.2874061750320830266728611029,1.073723708424996076708446921,0.3222381391666381805542177159,156,0.7409576108111563310620604824,0.9999999988604144128723004044,,,,
comparator,close_above_sma200,full_evaluation,1000.0000,1429.958793930928,429.958793930928,483.9576678882949771822040193,0.429958793930928,0.05029979132973385463219657316,0.1085007233504996124709432781,0.5062731771374909382231554849,0.06991588808699799460842709230,0.7856727195401056563244414018,0.2051999946793066507517911461,2380,0.2451256950973319213762904616,0.04719428031608635939645856429,4.268298987438727801132045774,47.973118751072,6.025755206294977182204019290,90
comparator,close_above_sma200,development,1000.0000,1429.958793930928,429.958793930928,,0.429958793930928,0.08523109965866026535382233311,0.1400587815775953080119300922,0.6536679133724336240533918483,0.09026114907626001817130903881,1.014300531737764552151961109,0.2051999946793066507517911461,1316,0.4153562469232138690392942389,0.07865735290130645822619750787,,,,
comparator,close_above_sma200,validation,1429.958793930928,1429.958793930928,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,close_above_sma200,frozen_holdout,1429.958793930928,1429.958793930928,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,positive_90_day_momentum,full_evaluation,1000.0000,1213.561728786944,213.561728786944,306.4328875617062437576192781,0.213561728786944,0.02691584258963496426054945897,0.1465515071029448402502732306,0.2565227365881700931383738196,0.1050329793143439241034362476,0.3579237102344484969395502619,0.3320770784396868625975816701,2380,0.08105299744295216338517653620,0.05702145327093541086838181920,8.397407925187862496487243133,82.491070086056,10.38008868870624375761927813,129
comparator,positive_90_day_momentum,development,1000.0000,1213.561728786944,213.561728786944,,0.213561728786944,0.04526115270464995969549769666,0.1892097920903789431592251856,0.3311482801487929132147930910,0.1355971820313438452010047524,0.4620781663704217778789043306,0.3320770784396868625975816701,1316,0.1362971299233182913590287312,0.09503602010323565623876342174,,,,
comparator,positive_90_day_momentum,validation,1213.561728786944,1213.561728786944,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,positive_90_day_momentum,frozen_holdout,1213.561728786944,1213.561728786944,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,combined_momentum_and_sma200_unsized,full_evaluation,1000.0000,1430.235436675568,430.235436675568,495.1886368986593862211593256,0.430235436675568,0.05032767088492943955447527491,0.1062538932955944407592327846,0.5148956078509418868206390385,0.06703863591096471312543113832,0.8160915303769778664136728579,0.2056874342365110361728163637,2380,0.2446803377743525126398750333,0.04202252211936399476882802159,5.098947274715149055129822940,57.710256342432,7.242943880659386221159325646,93
comparator,combined_momentum_and_sma200_unsized,development,1000.0000,1430.235436675568,430.235436675568,,0.430235436675568,0.08527911152561525305551356694,0.1371573442730335992350882957,0.6648060009493271123201031165,0.08654662731737486165050507907,1.053571102344734679257517835,0.2056874342365110361728163637,1316,0.4146053541975564298762750736,0.07003773190326875697869422330,,,,
comparator,combined_momentum_and_sma200_unsized,validation,1430.235436675568,1430.235436675568,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,combined_momentum_and_sma200_unsized,frozen_holdout,1430.235436675568,1430.235436675568,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,frozen_v1,full_evaluation,1000.0000,1225.272045489520,225.272045489520,278.3083437101539556157289755,0.22527204548952,0.02826995228023010752395930603,0.07950192137891526087688747167,0.3901626005703091029948867558,0.05084884601716082972128329423,0.6100173125869057009286923745,0.2083148627765723741034545679,2380,0.1357078026187261524334837372,0.03035516230697729516191319085,4.802753081360339631214857792,47.122083667480,5.914214553153955615728975546,56
comparator,frozen_v1,development,1000.0000,1225.272045489520,225.272045489520,,0.22527204548952,0.04755933556937548227249363026,0.1026352744331943844148794374,0.5037053609878010815232034505,0.06564566933627021289798588171,0.7875300607208574149354616159,0.2083148627765723741034545679,1316,0.2283050519558229410215948266,0.05059207806464858070904737555,,,,
comparator,frozen_v1,validation,1225.272045489520,1225.272045489520,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
comparator,frozen_v1,frozen_holdout,1225.272045489520,1225.272045489520,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
cost_sensitivity,maker_maker,pre_holdout,1000.0000,1251.689275940044,251.689275940044,275.3460109813907031360124765,0.251689275940044,0.03925695979918070734596883596,0.08896257247917036238763602673,0.4770436271428257184672104514,0.05669924034853100728477760280,0.7484937716016416938327324396,0.1965797714781624129639514122,1848,0.1996998953859383807074425414,0.03790083763522866928159970522,4.734489249020178072030826207,23.634318650956,0.02241639039070313601247650810,55
cost_sensitivity,maker_taker,pre_holdout,1000.0000,1240.270396006404,240.270396006404,276.3003077622895780349488955,0.240270396006404,0.03762458199077143455519189620,0.08892980725009079397757778975,0.4595109997239022688653880574,0.05677637571740031386242540430,0.7197399291237156610785539852,0.2019460208603457164972562399,1848,0.1863100933134524950417885951,0.03792651075102030731544620453,4.769919030998936994785326826,36.007495362596,0.02241639328957803494889546542,55
cost_sensitivity,taker_taker,pre_holdout,1000.0000,1229.335466205472,229.335466205472,276.5016189664487199555544942,0.229335466205472,0.03604967412802699369203737633,0.08893717763888871033324885835,0.4424010059574140581624262493,0.05687382354991644019579932881,0.6918102986328128493207658887,0.2072323526505002839773995099,1848,0.1739577516104600640220653277,0.03796419185422484977789528344,4.790620550662438100539822197,47.143793516528,0.02235924444871995555449415180,55
cost_sensitivity,maker_maker_plus_10bps,pre_holdout,1000.0000,1246.088809974756,246.088809974756,275.6345782298772888042332037,0.246088809974756,0.03845789781101719645739714210,0.08895073843043847547377782609,0.4684481984273429348997557165,0.05673713849374733468402118841,0.7344186589726021499002482789,0.1992434494467098025312278284,1848,0.1930196346118934811014461860,0.03791653412372130763817406162,4.748179485310446480979966534,23.617586738244,5.928181516877288804233203674,55
cost_sensitivity,maker_taker_plus_10bps,pre_holdout,1000.0000,1234.689564370464,234.689564370464,276.5893129609205239631535928,0.234689564370464,0.03682224415355368119587085875,0.08892562020390531640988832060,0.4508298004247274195740424638,0.05682272780776051736655197297,0.7055331758236435765685778624,0.2046083194140589026039790660,1848,0.1799645501170348653653354633,0.03794232404365659764458186690,4.783762786146445765874271115,35.971005216536,5.928743373920523963153592833,55
cost_sensitivity,taker_taker_plus_10bps,full_evaluation_primary_frozen,1000.0000,1225.272045489520,225.272045489520,278.3083437101539556157289755,0.22527204548952,0.02826995228023010752395930603,0.07950192137891526087688747167,0.3901626005703091029948867558,0.05084884601716082972128329423,0.6100173125869057009286923745,0.2083148627765723741034545679,2380,0.1357078026187261524334837372,0.03035516230697729516191319085,4.802753081360339631214857792,47.122083667480,5.914214553153955615728975546,56
cost_sensitivity,double_primary_costs,pre_holdout,1000.0000,1218.620574820304,218.620574820304,292.1125046996296181524019632,0.218620574820304,0.03449515884070616055459737535,0.08774128834200137817413785750,0.4301236912004308835801095243,0.05636357857073395565501583027,0.6695743558046323170373375345,0.2021347495241002433339228747,1848,0.1706542735572210508806874298,0.03630806057916733427019757845,3.352255544065225994151137979,65.309031497696,8.182898381629618152401963193,45
