variant,role,scope,initial_equity_cad,final_equity_cad,net_profit_cad,gross_profit_cad,total_return,cagr,annualized_volatility,sharpe,downside_deviation,sortino,max_drawdown,max_drawdown_duration_days,calmar,average_exposure,turnover,total_fees_cad,total_slippage_cad,trade_count
cad_cash,benchmark,full_evaluation,1000,1000,0,0,0,0,0E-48,,0E-48,,0,0,,0,0,0,0,0
cad_cash,benchmark,development,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
cad_cash,benchmark,validation,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
cad_cash,benchmark,opened_v1_holdout,1000,1000,0,,0,0,0E-48,,0E-48,,0,0,,0,,,,
fee_aware_btc_buy_and_hold,benchmark,full_evaluation,1000,14286.863984417056,13286.863984417056,13425.43657594000000000000000,13.286863984417056,0.4403858523302283951290279868,0.6152623736839949500011635147,0.9047757450817935125893557798,0.4163904523242863076726101000,1.336904987766600887330846515,0.7466956382129823807136516573,842,0.5897795966562425968488705837,0.9998364853744658587123176723,2.392438112965718136705036764,123.153152704944,15.41943881800000000000000000,3
fee_aware_btc_buy_and_hold,benchmark,development,1000,3750.657927855008,2750.657927855008,,2.750657927855008,0.3529988234436072737056744801,0.7007201625929570973441308142,0.7884427745514499771373575986,0.4839117496867273152750785728,1.141691123508769703820521745,0.7466956382129823807136516573,483,0.4727479382207403391125084994,0.9997274762210063483553248530,,,,
fee_aware_btc_buy_and_hold,benchmark,validation,3750.657927855008,10456.888248223392,6706.230320368384,,1.788014382906857236970193525,1.020749843215124600349272766,0.4795412950521698715539377601,1.704429236896831168681433583,0.2859934608630533535697405530,2.857912209320301722723831529,0.2264028257000332037770052388,126,4.508556110370909117401392943,0.9999999970721800156669567532,,,,
fee_aware_btc_buy_and_hold,benchmark,opened_v1_holdout,10456.888248223392,14286.863984417056,3829.975736193664,,0.366263428017830307818762572,0.2387648017091451246928775127,0.4363505738872089131054979886,0.7072176422975429607643206988,0.2874061750320830266728611029,1.073723708424996076708446921,0.3222381391666381805542177159,156,0.7409576108111563310620604824,0.9999999988604144128723004044,,,,
sealed_frozen_v1_persistent_disarm,sealed_reference,full_evaluation,1000.0000,1225.272045489520,225.272045489520,278.3083437101539556157289755,0.22527204548952,0.02826995228023010752395930603,0.07950192137891526087688747167,0.3901626005703091029948867558,0.05084884601716082972128329423,0.6100173125869057009286923745,0.2083148627765723741034545679,2380,0.1357078026187261524334837372,0.03035516230697729516191319085,4.802753081360339631214857792,47.122083667480,5.914214553153955615728975546,56
sealed_frozen_v1_persistent_disarm,sealed_reference,development,1000.0000,1225.272045489520,225.272045489520,,0.22527204548952,0.04755933556937548227249363026,0.1026352744331943844148794374,0.5037053609878010815232034505,0.06564566933627021289798588171,0.7875300607208574149354616159,0.2083148627765723741034545679,1316,0.2283050519558229410215948266,0.05059207806464858070904737555,,,,
sealed_frozen_v1_persistent_disarm,sealed_reference,validation,1225.272045489520,1225.272045489520,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
sealed_frozen_v1_persistent_disarm,sealed_reference,opened_v1_holdout,1225.272045489520,1225.272045489520,0E-12,,0,0,0E-48,,0E-48,,0,0,,0,,,,
